                                                                                                                                
[2025-05-31 04:06:24,580] [WARNING] [stage3.py:2148:step] 1 pytorch allocator cache flushes since last step. this happens when there is high memory pressure and is detrimental to performance. if this is happening frequently consider adjusting settings to reduce memory consumption. If you are unable to make the cache flushes go away consider adding get_accelerator().empty_cache() calls in your training loop to ensure that all ranks flush their caches at the same time
{'loss': 3.6508, 'grad_norm': 249.46914416565082, 'learning_rate': 4.827586206896552e-07, 'epoch': 0.03}
{'loss': 0.6979, 'grad_norm': 2.9843344668602256, 'learning_rate': 1.844084300893456e-08, 'epoch': 2.83}
{'loss': 0.7037, 'grad_norm': 2.8546033262550936, 'learning_rate': 1.3638696597277677e-08, 'epoch': 2.85}
{'loss': 0.7013, 'grad_norm': 2.9900023465144443, 'learning_rate': 9.555320295479564e-09, 'epoch': 2.88}
{'loss': 0.6978, 'grad_norm': 3.3003154044335443, 'learning_rate': 6.1936896955704365e-09, 'epoch': 2.9}
{'loss': 0.6822, 'grad_norm': 2.806651779305633, 'learning_rate': 3.5562544471736675e-09, 'epoch': 2.92}
100%|██████████████████████████████████████████████████████████████████████████████████████| 960/960 [2:44:38<00:00, 10.29s/it]
{'loss': 0.6994, 'grad_norm': 3.3125051332056517, 'learning_rate': 1.6449364724255842e-09, 'epoch': 2.95}
{'loss': 0.6664, 'grad_norm': 3.699362104536437, 'learning_rate': 4.611285654533281e-10, 'epoch': 2.98}
{'loss': 0.6782, 'grad_norm': 2.8777736818723723, 'learning_rate': 5.6933774338352444e-12, 'epoch': 3.0}
{'train_runtime': 10042.164, 'train_samples_per_second': 1.529, 'train_steps_per_second': 0.096, 'train_loss': 0.8784919892748196, 'epoch': 3.0}
